,Country,Average_Player_Score,Average_Player_Value,rank,Wins,Losses,Ties,Game_Count,win_percentage,lose_percentage
80,Haiti,63.4,569500.0,83.0,65,44,26,135,0.48148148148148145,0.32592592592592595
81,Uganda,63.111111111111114,517222.22222222225,84.0,104,49,53,206,0.5048543689320388,0.23786407766990292
82,Israel,71.64285714285714,4257142.857142857,85.0,47,39,30,116,0.4051724137931034,0.33620689655172414
83,Uzbekistan,64.28571428571429,933571.4285714285,86.0,74,40,25,139,0.5323741007194245,0.28776978417266186
84,Zambia,67.0,2550454.5454545454,87.0,94,52,69,215,0.4372093023255814,0.24186046511627907
85,Gabon,71.42857142857143,6446428.571428572,88.0,37,36,28,101,0.36633663366336633,0.3564356435643564
86,Belarus,62.666666666666664,723333.3333333334,89.0,36,63,23,122,0.29508196721311475,0.5163934426229508
87,Armenia,71.5,5237500.0,90.0,34,71,25,130,0.26153846153846155,0.5461538461538461
88,Georgia,69.71428571428571,2378571.4285714286,91.0,27,64,30,121,0.2231404958677686,0.5289256198347108
89,Lebanon,64.0,466666.6666666667,93.0,38,54,27,119,0.31932773109243695,0.453781512605042
90,Congo,66.78571428571429,1573214.2857142857,94.0,39,47,35,121,0.32231404958677684,0.3884297520661157
91,Jordan,62.0,367500.0,95.0,67,41,37,145,0.46206896551724136,0.2827586206896552
92,Luxembourg,66.81818181818181,1200000.0,96.0,15,90,13,118,0.1271186440677966,0.7627118644067796
93,Cyprus,62.857142857142854,1200714.2857142857,97.0,34,82,24,140,0.24285714285714285,0.5857142857142857
94,Madagascar,69.22222222222223,1675555.5555555555,100.0,38,54,24,116,0.3275862068965517,0.46551724137931033
95,Mauritania,63.285714285714285,669285.7142857143,101.0,20,41,17,78,0.2564102564102564,0.5256410256410257
96,Kenya,64.5,1726000.0,102.0,60,63,46,169,0.35502958579881655,0.3727810650887574
97,Trinidad & Tobago,64.83333333333333,1268333.3333333333,103.0,72,67,36,175,0.4114285714285714,0.38285714285714284
98,Palestine,63.5,325000.0,104.0,33,48,26,107,0.308411214953271,0.4485981308411215
99,India,60.857142857142854,0.0,105.0,61,48,24,133,0.45864661654135336,0.3609022556390977
100,Thailand,69.0,1468750.0,106.0,78,64,50,192,0.40625,0.3333333333333333
101,Zimbabwe,69.0909090909091,2743181.8181818184,107.0,80,52,43,175,0.45714285714285713,0.29714285714285715
102,Guinea Bissau,66.57142857142857,1829285.7142857143,108.0,16,32,14,62,0.25806451612903225,0.5161290322580645
103,Korea DPR,60.0,70000.0,109.0,66,44,40,150,0.44,0.29333333333333333
104,Azerbaijan,60.833333333333336,376666.6666666667,110.0,14,76,30,120,0.11666666666666667,0.6333333333333333
105,Namibia,68.66666666666667,2150000.0,111.0,46,60,26,132,0.3484848484848485,0.45454545454545453
106,Niger,57.0,222500.0,112.0,17,45,13,75,0.22666666666666666,0.6
